"feast_code","feast_ta"
"Our Lady of Fatima","தூய பாத்திமா அன்னை"
"Saint Matthias the Apostle","புனித மத்தியா - திருத்தூதர்"
"Saint John I, pope and martyr","புனித முதலாம் யோவான் - திருத்தந்தை, மறைச்சாட்சி"
"Saint Bernardine of Siena, priest","சியன்னா நகர் புனித பெர்னார்தீன் - மறைப்பணியாளர்"
"Saint Christopher Magallanes and companions, martyrs","புனிதர்கள் மறைப்பணியாளர் கிறிஸ்டோபர் மெகாலன், தோழர்கள் - மறைச்சாட்சியர்"
"Saint Rita of Cascia","காசியா சபை புனித ரீத்தா - துறவி"
"Saint Bede the Venerable, priest and doctor","வணக்கத்துக்குரிய புனித பீடு - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint Gregory VII, pope","புனித ஏழாம் கிரகோரி - திருத்தந்தை"
"Saint Mary Magdalene de Pazzi, virgin","பாசி நகர் புனித மகதலா மரியா - கன்னியர்"
"Saint Philip Neri, priest","புனித பிலிப்பு நேரி - மறைப்பணியாளர்"
"Saint Augustine (Austin) of Canterbury, bishop","கான்றர்பரி நகர் புனித அகுஸ்தீன் - ஆயர்"
"Saint Paul VI, pope","புனித ஆறாம் பவுல், திருத்தந்தை"
"Visitation of the Blessed Virgin Mary","தூய கன்னி மரியா எலிசபெத்தைச் சந்தித்தல்"
"Saint Justin Martyr","புனித ஜஸ்டின் - மறைச்சாட்சி"
"Saints Marcellinus and Peter, martyrs","புனிதர்கள் மார்சலின், பீட்டர் - மறைச்சாட்சியர்"
"Saints Charles Lwanga and companions, martyrs","புனிதர்கள் சார்லஸ் லுவாங்கா, தோழர்கள் - மறைச்சாட்சியர்"
"Saint Boniface, bishop and martyr","புனித போனிப்பாஸ் - ஆயர், மறைச்சாட்சி"
"Saint Norbert, bishop","புனித நார்பெர்ட் - ஆயர்"
"Saint Ephrem, deacon and doctor","புனித எபிரேம் - திருத்தொண்டர், மறைவல்லுநர்"
"Saint Barnabas the Apostle","புனித பர்னபா - திருத்தூதர்"
"Saint Anthony of Padua, priest and doctor","பதுவா நகர் புனித அந்தோனியார் - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint Romuald, abbot","புனித ரோமுவால்து - ஆதீனத் தலைவர்"
"Saint Aloysius Gonzaga, religious","புனித அலோசியுஸ் கொன்சாகா - துறவி"
"Saint Paulinus of Nola, bishop","புனித பவுலீனு நோலா - ஆயர்"
"Saints John Fisher, bishop and martyr and Thomas More, martyr","புனிதர்கள் ஆயர் ஜான் பிசர், தாமஸ் மூர் - மறைச்சாட்சியர்"
"Birth of Saint John the Baptist","திருமுழுக்கு யோவானின் பிறப்பு"
"Saint Cyril of Alexandria, bishop and doctor","அலெக்சாந்திரிய நகர் புனித சிரில் - ஆயர், மறைவல்லுநர்"
"Saint Irenaeus, bishop, martyr","புனித இரனேயு - ஆயர், மறைச்சாட்சி"
"Saint Irenaeus, bishop, martyr and Doctor of the Church","புனித இரனேயு - ஆயர், மறைச்சாட்சி, மறைவல்லுநர்"
"Saints Peter and Paul, Apostles","புனிதர்கள் பேதுரு, பவுல் - திருத்தூதர்கள்"
"First Martyrs of the Church of Rome","உரோமைத் திருச்சபையின் முதல் மறைச்சாட்சியர்"
"Saint Thomas the Apostle","புனித தோமா - திருத்தூதர்"
"Saint Elizabeth of Portugal","லுஸ்தானியா நகர் புனித எலிசபெத்து"
"Saint Anthony Zaccaria, priest","புனித அந்தோணி மரிய செக்கரியா - மறைப்பணியாளர்"
"Saint Maria Goretti, virgin and martyr","புனித மரிய கொரற்றி - கன்னியர், மறைச்சாட்சி"
"Saint Augustine Zhao Rong and companions, martyrs","புனிதர்கள் அகஸ்டின் ஜாவோ ரோங்கு, தோழர்கள் - மறைச்சாட்சியர்"
"Saint Benedict, abbot","புனித பெனடிக்ட் - ஆதீனத் தலைவர்"
"Saint Henry","புனித என்றி"
"Saint Camillus de Lellis, priest","புனித கமில்லஸ் தெ லெல்லிஸ் - மறைப்பணியாளர்"
"Saint Bonaventure, bishop and doctor","புனித பொனவெந்தூர் - ஆயர், மறைவல்லுநர்"
"Our Lady of Mount Carmel","தூய கார்மேல் அன்னை"
"Saint Apollinaris, bishop and martyr","புனித அப்போலினாரிஸ் - ஆயர், மறைச்சாட்சி"
"Saint Lawrence of Brindisi, priest and doctor","புனித பிரிந்திசி நகர் லாரன்ஸ் - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint Mary Magdalene","புனித மகதலா மரியா"
"Saint Birgitta, religious","புனித பிரிசித்தா - துறவி"
